Selected Geographies,wages,Total_COW,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"Employee of a private for-profit co. or bus., or of an individual, for wages, salary, commissions","Employee of a private not-for-profit, tax-exempt, or charitable organization","Local government employee (city, county, etc.)",State government employee,Federal government employee,"Self-employed in own not incorporated business, professional practice, or farm","Self-employed in own incorporated business, professional practice or farm",Working without pay in family business or farm,Unemployed and last worked 5 years ago or earlier or never worked,Total_ES,N/A (less than 16 years old),"Civilian employed, at work","Civilian employed, with a job but not at work",Unemployed,"Armed Forces, At Work","Armed Forces, With a Job But Not At Work",Not in Labor Force,Income-to-poverty ratio recode,GDP_2019_In_Mil,party,TWF,TPWF,TNFWF,WFUE,PEPW,NFPW
Kentucky,21047.0,4509394.0,1923125.0,1743641.0,217560.0,163418.0,127238.0,75996.0,153996.0,80289.0,8841.0,15290.0,4509394.0,894490.0,1949220.0,45620.0,121000.0,18900.0,90.0,1480074.0,281.0,215398.9,democrat,2134830.0,366652.0,290656.0,0.056678986148779996,0.17174763330101225,0.1361494826285934
Louisiana,21173.0,4624047.0,2076349.0,1674224.0,187732.0,186725.0,127967.0,83442.0,162942.0,92146.0,8677.0,23843.0,4624047.0,958836.0,1906896.0,41708.0,164874.0,23377.0,75.0,1528281.0,273.0,256918.5,democrat,2136930.0,398134.0,314692.0,0.07715460965029271,0.18631120345542437,0.14726359777812095
Maine,25165.0,1372247.0,498185.0,515719.0,110969.0,66633.0,32960.0,25990.0,79850.0,35920.0,2642.0,3379.0,1372247.0,213831.0,660701.0,14447.0,36529.0,1040.0,0.0,445699.0,318.0,67717.1,democrat,712717.0,125583.0,99593.0,0.05125316219481225,0.17620317741824595,0.13973709059837214
Maryland,34703.0,6165129.0,2306479.0,2230522.0,375169.0,280694.0,170155.0,403541.0,217118.0,147303.0,11873.0,22275.0,6165129.0,1199093.0,3020739.0,56072.0,193707.0,40228.0,75.0,1655215.0,352.0,426747.4,republican,3310821.0,854390.0,450849.0,0.05850724034914603,0.25805985886884253,0.13617438091639505
Massachusetts,37293.0,6984723.0,2445783.0,2903341.0,605388.0,333128.0,164859.0,80955.0,280555.0,134890.0,10487.0,25337.0,6984723.0,1195509.0,3520025.0,84170.0,258045.0,5922.0,0.0,1921052.0,352.0,596593.1,republican,3868162.0,578942.0,497987.0,0.06670997750352751,0.1496684988891365,0.1287399545313769
Michigan,24144.0,10050811.0,4021467.0,4161599.0,571275.0,363599.0,202581.0,105726.0,372573.0,199984.0,18307.0,33700.0,10050811.0,1888079.0,4510830.0,95945.0,337425.0,5164.0,0.0,3213368.0,308.0,536888.3,democrat,4949364.0,671906.0,566180.0,0.06817542617596928,0.13575602845133233,0.11439449593927624
Minnesota,30692.0,5707390.0,2032318.0,2393706.0,449748.0,272953.0,123441.0,63658.0,213275.0,135975.0,9204.0,13112.0,5707390.0,1151242.0,2916501.0,50704.0,154833.0,3825.0,0.0,1430285.0,345.0,383777.0,democrat,3125863.0,460052.0,396394.0,0.049532880999583154,0.1471759958769786,0.12681105985770968
Mississippi,18281.0,2949965.0,1356139.0,1038168.0,95516.0,99423.0,122254.0,69076.0,98828.0,53501.0,5242.0,11818.0,2949965.0,607371.0,1199499.0,26208.0,84197.0,14351.0,194.0,1018145.0,261.0,115971.3,republican,1324449.0,290753.0,221677.0,0.06357134174286817,0.21952751672582335,0.16737299812978831
Missouri,24533.0,6168187.0,2460903.0,2458667.0,382480.0,242298.0,139324.0,115657.0,222163.0,117625.0,15795.0,13275.0,6168187.0,1218279.0,2901068.0,51941.0,146243.0,26401.0,0.0,1824255.0,304.0,328400.6,republican,3125653.0,497279.0,381622.0,0.04678798318303407,0.1590960352924653,0.12209352733652776
Montana,22984.0,1104271.0,426554.0,370317.0,68562.0,58276.0,35723.0,31372.0,66758.0,41459.0,3530.0,1720.0,1104271.0,208016.0,516637.0,8720.0,23729.0,5926.0,0.0,341243.0,308.0,52934.6,republican,555012.0,125371.0,93999.0,0.04275403054348374,0.2258888096113237,0.16936390564528334
