Selected Geographies,Wages or salary income past 12 months (use ADJINC to adjust WAGP to constant dollars),Total_COW,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),"Employee of a private for-profit co. or bus., or of an individual, for wages, salary, commissions","Employee of a private not-for-profit, tax-exempt, or charitable organization","Local government employee (city, county, etc.)",State government employee,Federal government employee,"Self-employed in own not incorporated business, professional practice, or farm","Self-employed in own incorporated business, professional practice or farm",Working without pay in family business or farm,Unemployed and last worked 5 years ago or earlier or never worked,Total_ES,N/A (less than 16 years old),"Civilian employed, at work","Civilian employed, with a job but not at work",Unemployed,"Armed Forces, At Work","Armed Forces, With a Job But Not At Work",Not in Labor Force,Income-to-poverty ratio recode
Rhode Island,28930,1095610,392036,458027,87375,39303,29402,22505,38686,22270,2581,3425,1095610,182089,531852,16268,46025,3176,120,316080,326
South Carolina,22141,5190705,2193812,1996645,202853,198605,163664,121211,187526,101524,8594,16271,5190705,982401,2283244,48793,137973,33523,24,1704747,292
South Dakota,24976,895376,339043,329065,58838,45177,25433,22131,47576,24489,1703,1921,895376,191265,444261,6091,12537,4640,0,236582,306
Tennessee,23482,6975218,2841749,2774054,318659,296551,150168,121041,306003,118475,13743,34775,6975218,1358002,3181638,64104,179984,17718,0,2173772,294
Texas,25858,29527941,12197564,11836262,1020018,1288393,680225,536326,1238274,572227,60065,98587,29527941,6592441,13514416,278154,907252,115876,2484,8117318,299
Utah,26617,3337975,1323738,1357366,136890,141857,96162,69258,107670,93452,4917,6665,3337975,831328,1627020,28379,59447,7800,0,784001,325
Vermont,25877,645570,224358,238763,64197,32000,20234,11048,36017,16818,1778,357,645570,102716,317132,7190,13669,1983,0,202880,325
Virginia,32182,8642274,3273694,3235871,453484,411160,214128,539332,290968,186550,16543,20544,8642274,1660200,4131202,76838,209573,133133,1397,2429931,339
Washington,33943,7738692,2927784,3090186,410623,338100,249578,205912,298576,180153,13983,23797,7738692,1484267,3608001,88211,236736,63220,632,2257625,343
West Virginia,19501,1782959,819572,615417,79278,70244,73314,37513,49607,27987,3051,6976,1782959,313625,710024,15006,47308,2320,0,694676,278
Wisconsin,26734,5895908,2170215,2552731,353280,276493,128638,65686,203415,118912,16822,9716,5895908,1122147,2952480,48122,105212,3332,0,1664615,323
Wyoming,23963,578803,215822,215549,23773,38070,25839,15532,25376,16574,1532,736,578803,117432,279012,6249,10752,2509,0,162849,309
